ID,name,link
183,Easy High Plank Superman,https://www.youtube.com/embed/09i7p0SE8Zk?si=-xeb6K_AhkkgJx-S
184,High Plank,https://www.youtube.com/embed/iB39jfGOBO0?si=DwG7yKmvuPzCFmej
185,Inchworm,https://www.youtube.com/embed/DO380uJZv9w?si=10Q20ptElrZVMt_r
186,Low Plank Hand Jacks,https://www.youtube.com/embed/JUgrf0gLc8U?si=eAFI2HwDth2Z2IpF
187,Low Plank Side Steps,https://www.youtube.com/embed/-fXhC_ZxOjc?si=3v7jNKxEn9WW_SvB
188,Side Star Low Plank Left,https://www.youtube.com/embed/Y3colQQ_mhI?si=iv_NEefSIBZDdhAE
189,Side Star Low Plank Right,https://www.youtube.com/embed/2MAesYL6JvM?si=0zqvGihD1NB_tLyF
190,T Side Star Low Plank,https://www.youtube.com/embed/73HMNXjA1H4?si=k6fmO05r0eHBTIqZ
191,Low Plank Jacks,https://www.youtube.com/embed/2jNWPzrmTRI?si=8Wim2FLUdckcMAWH
192,T Low Planks,https://www.youtube.com/embed/tsJv7VXHRQI?si=mE6Fr7rBxdiwMKT4
193,Spiderman Low Planks,https://www.youtube.com/embed/IxrONLtEu4c?si=GHDjdW-O6WaZeNqh
194,Easy Low Side Plank Crunches Left,https://www.youtube.com/embed/Wpus6D2ODLQ?si=JWyY0bd7UfEq4g_y
195,Easy Low Side Plank Crunches Right,https://www.youtube.com/embed/cUOZYq4a1CA?si=1DnOxgH4Kzgh8Dsb
196,Easy Low Side Plank Leg Lifts Left,https://www.youtube.com/embed/nC9PC09cGEE?si=JilAtCSqJCbf4QiG
197,Easy Low Side Plank Leg Lifts Right,https://www.youtube.com/embed/Cqvoo-DQvtE?si=nTYkdfFXo6t3UJgG
198,Knee Low Plank Pop-Ups,https://www.youtube.com/embed/TVdNEziZlk0?si=-_tN_ODUyaa6iHtV
199,Low Plank Crunches,https://www.youtube.com/embed/YvZIArjzam8?si=JsijLDu4PkRbtSdX
200,Low Plank Twist,https://www.youtube.com/embed/-6RC2a2qLUI?si=o5GFY5ieG3-Dt4LW
201,Low Side Plank Twist Right,https://www.youtube.com/embed/-QBm8fchAQs?si=kCQiBjrQ_V7rkOGB
202,Low Side Plank Twist Left,https://www.youtube.com/embed/FhebL0NNgts?si=NAp3QdrZu6B1OTNf
203,Reverse Low Plank,https://www.youtube.com/embed/cVSBjTyKECU?si=bLv0U2Z0gM2EbXSe
